method,mode,softness,standardize,num_compare,num_steps,lr,batch_size,seed,test_acc_em,test_acc_ew,test_acc_em5,best_valid_acc_em5
softsort,smooth,0.1,True,3,100000,0.001,100,0,0.9304999834299088,0.9525666952133178,0.9304999834299088,0.9425999820232391
sorting_network,smooth,0.1,True,3,100000,0.001,100,0,0.9256999826431275,0.9491000252962113,0.9256999826431275,0.9403999805450439
neuralsort,smooth,0.1,True,3,100000,0.001,100,0,0.9250999855995178,0.9488333582878112,0.9250999855995178,0.9415999805927276
sorting_network,smooth,0.1,True,5,100000,0.001,100,0,0.8157999795675278,0.9182800412178039,0.8157999795675278,0.8347999763488769
neuralsort,smooth,0.1,True,5,100000,0.001,100,0,0.8165999782085419,0.918180039525032,0.8165999782085419,0.844999976158142
sorting_network,smooth,0.1,True,7,100000,0.001,100,0,0.675099983215332,0.8846999901533127,0.8207999783754348,0.8343999791145325
neuralsort,smooth,0.1,True,7,100000,0.001,100,0,0.6980999845266342,0.8937714183330536,0.8338999783992768,0.8479999816417694
softsort,smooth,0.1,True,5,100000,0.001,100,0,0.8255999779701233,0.9219200456142426,0.8255999779701233,0.8445999765396118
sorting_network,smooth,0.1,True,9,100000,0.001,100,0,0.4854999873042107,0.8396889102458954,0.798499979376793,0.8303999817371368
neuralsort,smooth,0.1,True,9,100000,0.001,100,0,0.5860999873280526,0.8737111341953278,0.8497999775409698,0.8615999817848206
softsort,smooth,0.1,True,7,100000,0.001,100,0,0.6950999814271926,0.8918857008218766,0.8327999788522721,0.8473999834060669
softsort,smooth,0.1,True,9,100000,0.001,100,0,0.5880999857187271,0.8728666865825653,0.8407999801635743,0.865199978351593
ot,smooth,0.1,True,15,100000,0.001,100,0,0.06009999832138419,0.6607466572523117,0.7152999818325043,0.7383999836444854
ot,smooth,0.1,True,9,100000,0.001,100,0,0.4986999875307083,0.8430777961015701,0.8007999795675278,0.8357999873161316
sorting_network,smooth,0.1,True,15,100000,0.001,100,0,0.16629999570548534,0.763319987654686,0.8153999787569046,0.8309999835491181
neuralsort,smooth,0.1,True,15,100000,0.001,100,0,0.25469999238848684,0.7974466568231583,0.8419999784231186,0.8701999819278717
softsort,smooth,0.1,True,32,100000,0.001,100,0,0.0024999999441206455,0.6206593596935273,0.8279999762773513,0.8509999787807465
neuralsort,smooth,0.1,True,32,100000,0.001,100,0,0.0,0.37105624228715894,0.6376999866962433,0.6637999832630157
softsort,smooth,0.1,True,15,100000,0.001,100,0,0.2401999941468239,0.7907999926805496,0.8351999807357788,0.8581999790668488
