method,mode,softness,standardize,num_compare,num_steps,lr,batch_size,seed,test_acc_em,test_acc_ew,test_acc_em5,best_valid_acc_em5
sorting_network,c0,0.1,True,3,100000,0.001,100,0,0.7488999807834625,0.8251333552598953,0.7488999807834625,0.7681999790668488
softsort,c0,0.1,True,3,100000,0.001,100,0,0.5913999882340432,0.7086666840314865,0.5913999882340432,0.6145999884605408
sorting_network,c0,0.1,True,5,100000,0.001,100,0,0.6859999853372574,0.858000042438507,0.6859999853372574,0.703799979686737
softsort,c0,0.1,True,5,100000,0.001,100,0,0.1636999962478876,0.5063000223040581,0.1636999962478876,0.19019999563694
softsort,c0,0.1,True,7,100000,0.001,100,0,0.04849999872967601,0.4417142817378044,0.21639999523758888,0.22139999330043791
softsort,c0,0.1,True,9,100000,0.001,100,0,0.008299999795854092,0.373377788066864,0.21749999351799487,0.22919999331235885
sorting_network,c0,0.1,True,7,100000,0.001,100,0,0.49109998941421507,0.8066428470611572,0.6951999843120575,0.7217999839782715
sorting_network,c0,0.1,True,9,100000,0.001,100,0,0.04179999865591526,0.5131666821241379,0.3825999912619591,0.38919998943805695
sort,,softsort,c0,1.0,True,5,100000,0.001,100,0,0.6269999861717224,0.8271600377559661,0.6269999861717224,0.6393999898433685,,,
sort,,sorting_network,c0,1.0,True,5,100000,0.001,100,0,0.5693999874591827,0.7955800378322602,0.5693999874591827,0.590399985909462,,,
sort,,softsort,c0,1.0,True,7,100000,0.001,100,0,0.20149999484419823,0.6403999924659729,0.45169998735189437,0.4801999878883362,,,
sort,,sorting_network,c0,1.0,True,7,100000,0.001,100,0,0.3624999910593033,0.7471142756938934,0.6097999835014343,0.6185999894142151,,,
sort,,softsort,c0,1.0,True,9,100000,0.001,100,0,0.1775999954342842,0.6792111265659332,0.601099987924099,0.6057999861240387,,,
sort,,sorting_network,c0,1.0,True,9,100000,0.001,100,0,0.07859999747946858,0.5733666801452637,0.44969998836517333,0.46219999074935914,,,
