task,quantile,method,mode,softness,standardize,num_compare,num_steps,lr,batch_size,seed,test_acc_em,test_acc_ew,test_acc_em5,best_valid_acc_em5,test_mse,test_spearman,best_valid_mse
sort,,sorting_network,c2,0.1,True,3,100000,0.001,100,0,0.9027999818325043,0.9336000216007233,0.9027999818325043,0.910199978351593,,,
sort,,neuralsort,c2,0.1,True,3,100000,0.001,100,0,0.9004999816417694,0.9315333539247512,0.9004999816417694,0.9151999807357788,,,
sort,,softsort,c2,0.1,True,3,100000,0.001,100,0,0.8801999813318253,0.9171333551406861,0.8801999813318253,0.8919999802112579,,,
sort,,sorting_network,c2,0.1,True,5,100000,0.001,100,0,0.7971999770402909,0.9090400421619416,0.7971999770402909,0.8283999788761139,,,
sort,,neuralsort,c2,0.1,True,5,100000,0.001,100,0,0.7823999774456024,0.9034600460529327,0.7823999774456024,0.8065999782085419,,,
sort,,softsort,c2,0.1,True,5,100000,0.001,100,0,0.8056999772787095,0.9149000382423401,0.8056999772787095,0.8269999814033508,,,
sort,,sorting_network,c2,0.1,True,7,100000,0.001,100,0,0.6517999851703644,0.8767428451776504,0.8017999774217606,0.8245999789237977,,,
sort,,ot,c2,0.1,True,3,100000,0.001,100,0,0.8756999802589417,0.9147333538532257,0.8756999802589417,0.8969999837875366,,,
sort,,neuralsort,c2,0.1,True,7,100000,0.001,100,0,0.6342999863624573,0.8712428486347199,0.793499979376793,0.8143999791145324,,,
sort,,ot,c2,0.1,True,5,100000,0.001,100,0,0.8414999800920486,0.930400043129921,0.8414999800920486,0.8501999831199646,,,
sort,,softsort,c2,0.1,True,7,100000,0.001,100,0,0.6637999832630157,0.8811571359634399,0.81149997651577,0.8443999803066253,,,
sort,,sorting_network,c2,0.1,True,9,100000,0.001,100,0,0.4591999876499176,0.8285444670915604,0.7916999799013138,0.815399979352951,,,
sort,,softsort,c2,0.1,True,9,100000,0.001,100,0,0.5622999861836433,0.8679111319780349,0.8358999806642532,0.8569999778270722,,,
sort,,neuralsort,c2,0.1,True,9,100000,0.001,100,0,0.49189998537302015,0.8424889135360718,0.8004999804496765,0.8277999806404114,,,
sort,,ot,c2,0.1,True,7,100000,0.001,100,0,0.7319999831914902,0.9071285605430603,0.8549999821186066,0.8733999824523926,,,
sort,,ot,c2,0.1,True,9,100000,0.001,100,0,0.5801999834179878,0.8716111326217652,0.841899978518486,0.8547999787330628,,,
sort,,sorting_network,c2,0.1,True,15,100000,0.001,100,0,0.13109999638050795,0.7396933263540268,0.7942999815940857,0.8181999826431274,,,
sort,,softsort,c2,0.1,True,15,100000,0.001,100,0,0.3016999922692776,0.8165133225917817,0.8495999765396118,0.8829999780654907,,,
sort,,neuralsort,c2,0.1,True,15,100000,0.001,100,0,0.08519999776035547,0.6973999929428101,0.7578999829292298,0.7773999798297883,,,
sort,,ot,c2,0.1,True,15,100000,0.001,100,0,0.27099999353289606,0.8073133242130279,0.850999979376793,0.8667999827861785,,,
